"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 18:37:55 IST 2022","Thu Jun 23 18:38:20 IST 2022","24216","applicationB","tests\applicationB\SampleTestOne.spec.js","","","","sample test google",""
"passed","Thu Jun 23 18:37:55 IST 2022","Thu Jun 23 18:38:18 IST 2022","22363","applicationB","tests\applicationB\SampleTestTwo.spec.js","","","","sample test palywright",""
